s_m,x_m,y_m,z_m,yaw_rad,curvature_1pm
1196.871354,710.189682,-46.532807,0.000000,0.606187,0.010467
1201.113801,713.676237,-44.115724,0.000000,0.651309,0.010822
1205.283416,716.992293,-41.587986,0.000000,0.696736,0.011044
1209.396628,720.146884,-38.948465,0.000000,0.742030,0.011121
1213.469570,723.149043,-36.196031,0.000000,0.786746,0.011046
1217.517927,726.007803,-33.329555,0.000000,0.830452,0.010821
1221.556805,728.732197,-30.347908,0.000000,0.872745,0.010459
1225.600614,731.331258,-27.249962,0.000000,0.913268,0.009975
1229.662971,733.814019,-24.034586,0.000000,0.951717,0.009392
1233.756635,736.189513,-20.700652,0.000000,0.987853,0.008735
1237.893471,738.466773,-17.247030,0.000000,1.021498,0.008028
1242.084439,740.654831,-13.672592,0.000000,1.052533,0.007294
1246.339607,742.762722,-9.976209,0.000000,1.080898,0.006553
1250.668191,744.799478,-6.156750,0.000000,1.106576,0.005822
1255.078603,746.774132,-2.213088,0.000000,1.129594,0.005115
1259.578515,748.695717,1.855908,0.000000,1.150007,0.004441
1264.174933,750.573266,6.051365,0.000000,1.167897,0.003807
1268.874265,752.415813,10.374414,0.000000,1.183363,0.003217
1273.682404,754.232389,14.826183,0.000000,1.191332,0.001679
1278.427956,755.990251,19.234152,0.000000,1.190062,-0.000281
1282.948788,757.670203,23.431256,0.000000,1.183152,-0.001601
1287.264565,759.301602,27.426811,0.000000,1.169863,-0.003217
1291.395479,760.913807,31.230132,0.000000,1.149509,-0.005130
1295.362769,762.536173,34.850535,0.000000,1.121528,-0.007312
1299.189294,764.198059,38.297335,0.000000,1.085573,-0.009689
1302.900146,765.928822,41.579847,0.000000,1.041625,-0.012130
1306.523229,767.757818,44.707386,0.000000,0.990104,-0.014446
1310.089720,769.714406,47.689268,0.000000,0.931949,-0.016407
1313.634312,771.827943,50.534808,0.000000,0.868633,-0.017781
1317.195153,774.127785,53.253321,0.000000,0.802068,-0.018397
1320.813431,776.643291,55.854122,0.000000,0.734400,-0.018194
1324.532650,779.403817,58.346528,0.000000,0.667751,-0.017244
1328.397704,782.438721,60.739853,0.000000,0.603962,-0.015726
1332.453921,785.777360,63.043412,0.000000,0.544429,-0.013870
1336.746219,789.449091,65.266521,0.000000,0.490037,-0.011896
1341.318484,793.483271,67.418494,0.000000,0.441199,-0.009978
1346.213186,797.909259,69.508649,0.000000,0.397952,-0.008225
1351.471218,802.756411,71.546299,0.000000,0.360066,-0.006693
1357.131890,808.054084,73.540759,0.000000,0.345831,-0.002457
1362.926382,813.505506,75.504969,0.000000,0.362080,0.002935
1368.463576,818.683680,77.466356,0.000000,0.385115,0.004349
1373.759811,823.591993,79.455971,0.000000,0.415677,0.006023
1378.833728,828.233832,81.504865,0.000000,0.454443,0.007955
1383.707100,832.612584,83.644089,0.000000,0.501934,0.010108
1388.405710,836.731638,85.904694,0.000000,0.558380,0.012393
1392.960215,840.594379,88.317731,0.000000,0.623558,0.014658
1397.406866,844.204197,90.914252,0.000000,0.696636,0.016680
1401.787906,847.564477,93.725306,0.000000,0.776082,0.018207
1406.151489,850.678608,96.781946,0.000000,0.859706,0.019008
1410.550975,853.549976,100.115221,0.000000,0.944876,0.018958
1415.043636,856.181970,103.756183,0.000000,1.028866,0.018080
1419.688941,858.577976,107.735884,0.000000,1.109236,0.016545
1424.546758,860.741383,112.085373,0.000000,1.184124,0.014601
1429.675767,862.675576,116.835702,0.000000,1.252356,0.012505
1435.132315,864.383945,122.017922,0.000000,1.313413,0.010460
1440.969767,865.869875,127.663084,0.000000,1.367292,0.008595
1447.238276,867.136755,133.802239,0.000000,1.414345,0.006974
1453.984875,868.187972,140.466437,0.000000,1.455123,0.005610
1461.253744,869.026913,147.686730,0.000000,1.455455,0.000045
1468.626434,869.875404,155.010433,0.000000,1.415594,-0.005743
1475.567233,870.948310,161.867806,0.000000,1.372339,-0.006610
1482.111571,872.238572,168.283691,0.000000,1.325700,-0.007542
1488.295625,873.739134,174.282928,0.000000,1.275813,-0.008512
1494.156190,875.442939,179.890358,0.000000,1.222975,-0.009479
1499.730455,877.342929,185.130822,0.000000,1.167660,-0.010387
1505.055692,879.432048,190.029161,0.000000,1.110531,-0.011173
1510.168848,881.703239,194.610215,0.000000,1.052429,-0.011768
1515.106064,884.149445,198.898826,0.000000,0.994332,-0.012113
1519.902140,886.763608,202.919833,0.000000,0.937299,-0.012166
1524.590009,889.538671,206.698078,0.000000,0.882395,-0.011909
1529.200259,892.467578,210.258402,0.000000,0.830618,-0.011353
1533.760765,895.543271,213.625646,0.000000,0.782838,-0.010534
1538.296464,898.758694,216.824649,0.000000,0.739755,-0.009505
1542.829285,902.106790,219.880254,0.000000,0.701880,-0.008326
1547.378230,905.580500,222.817300,0.000000,0.669545,-0.007058
1551.959596,909.172769,225.660628,0.000000,0.642918,-0.005754
1556.587284,912.876539,228.435080,0.000000,0.622032,-0.004457
1561.273185,916.684753,231.165496,0.000000,0.606814,-0.003201
1566.027597,920.590354,233.876717,0.000000,0.589173,-0.003671
1570.833523,924.586004,236.547242,0.000000,0.564359,-0.005142
1575.659035,928.663232,239.128284,0.000000,0.537835,-0.005489
1580.491314,932.813290,241.603753,0.000000,0.509384,-0.005894
1585.318253,937.027425,243.957558,0.000000,0.478769,-0.006364
1590.128574,941.296887,246.173610,0.000000,0.445731,-0.006907
1594.911972,945.612926,248.235818,0.000000,0.409990,-0.007529
1599.659270,949.966791,250.128093,0.000000,0.371243,-0.008238
1604.362615,954.349730,251.834344,0.000000,0.329168,-0.009042
1609.015696,958.752994,253.338482,0.000000,0.283434,-0.009946
1613.614002,963.167831,254.624416,0.000000,0.233704,-0.010951
1618.155111,967.585492,255.676056,0.000000,0.179661,-0.012053
1622.639014,971.997224,256.477312,0.000000,0.121029,-0.013237
1627.068470,976.394278,257.012095,0.000000,0.057604,-0.014477
1631.449360,980.767902,257.264313,0.000000,-0.010695,-0.015731
1635.791053,985.109346,257.217878,0.000000,-0.083789,-0.016937
1640.106707,989.409860,256.856699,0.000000,-0.161379,-0.018016
1644.413498,993.660691,256.164685,0.000000,-0.242921,-0.018879
1648.732712,997.853091,255.125748,0.000000,-0.327603,-0.019436
1653.089646,1001.978307,253.723796,0.000000,-0.414377,-0.019616
1657.513316,1006.027590,251.942740,0.000000,-0.457227,-0.009125
1662.209042,1010.240973,249.869758,0.000000,-0.455939,0.000252
1667.315861,1014.826120,247.621197,0.000000,-0.454902,0.000190
1672.770150,1019.725729,245.224720,0.000000,-0.454037,0.000151
1678.508284,1024.882497,242.707991,0.000000,-0.453290,0.000125
1684.466635,1030.239120,240.098674,0.000000,-0.452627,0.000109
1690.581575,1035.738295,237.424432,0.000000,-0.452019,0.000098
1696.789477,1041.322719,234.712929,0.000000,-0.451446,0.000092
1703.026711,1046.935089,231.991829,0.000000,-0.450890,0.000090
1709.229648,1052.518102,229.288794,0.000000,-0.450334,0.000091
1715.334659,1058.014454,226.631489,0.000000,-0.449760,0.000097
1721.278115,1063.366843,224.047577,0.000000,-0.449146,0.000107
1726.996386,1068.517965,221.564722,0.000000,-0.448468,0.000125
1732.425844,1073.410517,219.210587,0.000000,-0.447688,0.000154
1737.502861,1077.987196,217.012837,0.000000,-0.446750,0.000201
1742.163808,1082.190699,214.999134,0.000000,-0.445567,0.000283
1746.345062,1085.963722,213.197142,0.000000,-0.443977,0.000437
1749.982997,1089.248962,211.634525,0.000000,-0.441662,0.000764
1753.013999,1091.989117,210.338947,0.000000,-0.437876,0.001604
1755.374464,1094.126883,209.338070,0.000000,-0.430355,0.004624
1757.000834,1095.604956,208.659559,0.000000,-0.397787,0.007086
